# {
#     "poni_version": 2.1,
#     "detector": "Pilatus1M",
#     "detector_config": {
#         "orientation": 3
#     },
#     "dist": 0.1,
#     "poni1": 0.1,
#     "poni2": 0.1,
#     "rot1": 0.0,
#     "rot2": 0.0,
#     "rot3": 0.0,
#     "wavelength": 1e-10
# }
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# --> lololo.dat
#       2th_deg             I 
  1.910274e+01    1.449099e-01
  1.921221e+01    3.112990e-01
  1.932168e+01    5.505899e-01
  1.943115e+01    8.033320e-01
  1.954063e+01    9.635975e-01
  1.965010e+01    9.507916e-01
  1.975957e+01    7.729615e-01
  1.986904e+01    5.163772e-01
  1.997851e+01    2.835268e-01
  2.008798e+01    1.285377e-01
  2.019745e+01    4.796619e-02
  2.030692e+01    1.464033e-02
  2.041640e+01    3.674855e-03
  2.052587e+01    7.644647e-04
  2.063534e+01    1.307201e-04
  2.074481e+01    1.816349e-05
  2.085428e+01    2.081957e-06
  2.096375e+01    1.980240e-07
  2.107322e+01    1.539815e-08
  2.118269e+01    9.696853e-10
  2.129217e+01    5.097167e-11
  2.140164e+01    2.210089e-12
  2.151111e+01    7.732083e-14
  2.162058e+01    2.218473e-15
  2.173005e+01    5.339903e-17
  2.183952e+01    5.617766e-18
  2.194899e+01    2.211628e-16
  2.205846e+01    8.573653e-15
  2.216794e+01    2.740430e-13
  2.227741e+01    7.315590e-12
  2.238688e+01    1.578318e-10
  2.249635e+01    2.764353e-09
  2.260582e+01    4.034623e-08
  2.271529e+01    4.861241e-07
  2.282476e+01    4.763826e-06
  2.293424e+01    3.846292e-05
  2.304371e+01    2.574798e-04
  2.315318e+01    1.403421e-03
  2.326265e+01    6.246595e-03
  2.337212e+01    2.324574e-02
  2.348159e+01    7.063267e-02
  2.359106e+01    1.764119e-01
  2.370053e+01    3.633557e-01
  2.381001e+01    6.144642e-01
  2.391948e+01    8.544071e-01
  2.402895e+01    9.783764e-01
  2.413842e+01    9.213405e-01
  2.424789e+01    7.143083e-01
  2.435736e+01    4.547722e-01
  2.446683e+01    2.383504e-01
  2.457630e+01    1.029020e-01
  2.468578e+01    3.620068e-02
  2.479525e+01    1.058532e-02
  2.490472e+01    2.546491e-03
  2.501419e+01    4.986972e-04
  2.512366e+01    8.094605e-05
  2.523313e+01    1.080472e-05
  2.534260e+01    1.168993e-06
  2.545207e+01    1.054644e-07
  2.556155e+01    7.766771e-09
  2.567102e+01    4.642561e-10
  2.578049e+01    2.324936e-11
  2.588996e+01    9.752373e-13
  2.599943e+01    9.563336e-13
  2.610890e+01    2.258350e-11
  2.621837e+01    4.611551e-10
  2.632785e+01    7.554720e-09
  2.643732e+01    1.031155e-07
  2.654679e+01    1.153723e-06
